Title,Authors,Year,Journal/Conference,URL
High strength and ductility in a dual-phase hetero-structured AlCoCrFeNi2.1 eutectic high-entropy alloy by powder metallurgy,"S.Y. Peng, Shuai Feng, Zhenfei Jiang, Jie Ren, Shengbiao Zhang, Yanfang Liu, Liang Zhang, Wenyi He, Zhongqiang Liu, S. Guan, Zhiyu Xiao, Wen Chen",2024,Materials Research Letters,https://www.semanticscholar.org/paper/e810df53abfaefac4142706ee0ec80a220f89a16
Overcoming strength-toughness trade-off in a eutectic high entropy alloy by optimizing chemical and microstructural heterogeneities,"Zhao Chen, Wenqing Zhu, Hang Wang, Quanfeng He, Qihong Fang, Xiaodi Liu, Jia Li, Yong Yang",2024,Communications Materials,https://www.semanticscholar.org/paper/e79b405029197a9e1393dc5177411533c01a65f7
Effect of Mo addition on microstructural evolution and corrosion behaviors of AlCrFeNi3 eutectic high-entropy alloy,"Jianming Wang, Hui Jiang, Wenlong Xie, Xiao Kong, Shengxue Qin, Hongwei Yao, Yong Li",2024,Corrosion Science,https://www.semanticscholar.org/paper/50bfa3a3ca77a7fddd6b0478d8cf9171564c00a5
A multi-objective optimization of laser cladding processing parameters of AlCoCrFeNi2.1 eutectic high-entropy alloy coating,"Z. Dong, Litong Feng, Haiyang Long, Bingwen Lu, Jiangqi Zhu, Xingchen Yan, Rucheng Ma, Changming Qiu, Yongliang Gui, Min Liu",2024,Optics &amp; Laser Technology,https://www.semanticscholar.org/paper/42c5407d6c162ad51c0fc956b27f7700b35e545f
Unleashing the microstructural evolutions during hot deformation of as-cast AlCoCrFeNi2.1 eutectic high entropy alloy,"J. Charkhchian, A. Zarei-Hanzaki, T.M. Schwarz, R. Lawitzki, G. Schmitz, N. Schell, Jia-Jyun Shen, J. Oliveira, D. Waryoba, H. Abedi",2024,Intermetallics (Barking),https://www.semanticscholar.org/paper/e77e0abdded08256ac865075dcc0ce9d0d44024d
A novel AlCo1.2Cr0.8FeNi2.1 eutectic high entropy alloy with excellent corrosion resistance,"Yujing Yang, Yong Dong, Shichao Liu, Shougang Duan, Chuanqiang Li, Peng Zhang",2024,Journal of Alloys and Compounds,https://www.semanticscholar.org/paper/b8efcc820effa6f412af1953c37eb5ef0c3e69fc
Insight into annealing-induced hardening and softening behaviors in a laser powder-bed fusion printed in-situ composite eutectic high-entropy alloy,"Yinuo Guo, Haijun Su, Hongliang Gao, Zhonglin Shen, Peixin Yang, Yuan Liu, Di Zhao, Zhuo Zhang, Min Guo",2024,Composites Part B: Engineering,https://www.semanticscholar.org/paper/6c1c998959e2cacafa16c81f1aaf069ff71dad53
High-temperature oxidation behavior of AlCoCrFeNi2.1 eutectic high-entropy alloy: Microstructure evolution and microhardness,"Guang-Rong Lin, Zhaobing Cai, Yinghui Dong, Chongmei Wang, Juanjuan Hu, Po Zhang, Le Gu",2024,Materials Characterization,https://www.semanticscholar.org/paper/e87ef16d504fc89bc7961ff7096c77c6d707c09f
Remarkable improved strength and ductility in brittle eutectic high-entropy alloy via a novel spheroidization and recrystallization strategy,"Lingkun Zhang, Rui Huang, Feng Zhou, A. Amar, Hongwei Yan, Yongan Zhang, Yiping Lu",2024,Journal of Materials Science &amp; Technology,https://www.semanticscholar.org/paper/e06c5be585379db190a30e50a9ecee21dbfe5e45
Laser directed energy deposited eutectic high entropy alloy with tailored lamella structure via interlayer pause strategy,"Zhouyang He, Xingbao Qiu, Xilei Bian, Shiwei Wu, Xiaolong Yu, Chen-Wei Liu, Zhen Hu, Y. Jia, Weisen Zheng, Jinqiang Shi, Zhibin Wu, Xiaogang Lu, Yandong Jia, Gang Wang",2024,Additive Manufacturing,https://www.semanticscholar.org/paper/9783c887968cb12db4404500253bc35f4c2f7fac
